
No compatibility mode selected!


Circuit: bgr tf - compute variation coefficients

Doing analysis at TEMP = 27.000000 and TNOM = 27.000000


Initial Transient Solution
--------------------------

Node                                   Voltage
xbgr.xsky130_asc_cap_mim_m3_1_1.x6.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x7.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x7.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x8.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x8.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x9.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x9.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x10.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x10.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x11.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x11.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x12.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x12.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x13.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x13.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x14.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x14.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x15.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x15.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x16.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x16.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x17.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x17.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x18.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x18.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x19.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_1.x19.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x0.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x0.b1     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x1.a     4.28443e-26
xbgr.xsky130_asc_cap_mim_m3_1_2.x1.b1     4.28443e-26
